"TrtCode","Treatment","Rep","TrapID","Site","Crop","MD","Count","Male","EndDate","StartDate","prop_males","attractant","phero_lure"
"C","PpoCombo","4",441,"Kettleman","Pis","No",14,14,2018-05-07,2018-04-27,1,"PPO","Pheromone lure"
"C","PpoCombo","5",454,"Kettleman","Pis","No",18,16,2018-05-07,2018-04-27,0.888888888888889,"PPO","Pheromone lure"
"C","PpoCombo","6",461,"Kettleman","Pis","No",16,16,2018-05-07,2018-04-27,1,"PPO","Pheromone lure"
"C","PpoCombo","7",473,"Kettleman","Pis","No",20,18,2018-05-07,2018-04-27,0.9,"PPO","Pheromone lure"
"C","PpoCombo","8",485,"Kettleman","Pis","No",24,22,2018-05-07,2018-04-27,0.916666666666667,"PPO","Pheromone lure"
"C","PpoCombo","1",413,"Kettleman","Pis","No",8,6,2018-05-17,2018-05-04,0.75,"PPO","Pheromone lure"
"C","PpoCombo","2",421,"Kettleman","Pis","No",4,2,2018-05-17,2018-05-04,0.5,"PPO","Pheromone lure"
"C","PpoCombo","3",433,"Kettleman","Pis","No",4,3,2018-05-17,2018-05-04,0.75,"PPO","Pheromone lure"
"C","PpoCombo","4",441,"Kettleman","Pis","No",16,13,2018-05-17,2018-05-04,0.8125,"PPO","Pheromone lure"
"C","PpoCombo","5",454,"Kettleman","Pis","No",14,12,2018-05-17,2018-05-04,0.857142857142857,"PPO","Pheromone lure"
